Player,Team,Stat,Line
Nikola Jokic,DEN,Pts+Rebs+Asts,49.5
Jordan Poole,WAS,Points,20.5
Anfernee Simons,POR,FG Attempted,15.5
Anfernee Simons,POR,FG Made,6.0
Anfernee Simons,POR,Rebounds,2.5
Anfernee Simons,POR,Pts+Asts,22.0
Anfernee Simons,POR,Points,17.5
Anfernee Simons,POR,Pts+Rebs,20.0
Anfernee Simons,POR,Assists,4.5
Anfernee Simons,POR,Rebs+Asts,7.5
Anfernee Simons,POR,Pts+Rebs+Asts,25.0
Bam Adebayo,MIA,FG Made,6.5
Bam Adebayo,MIA,FG Attempted,13.5
Bam Adebayo,MIA,Pts+Rebs,25.5
Bam Adebayo,MIA,Rebounds,9.0
Bam Adebayo,MIA,Points,16.5
Bam Adebayo,MIA,Pts+Asts,20.5
Bam Adebayo,MIA,Assists,4.5
Bam Adebayo,MIA,Pts+Rebs+Asts,30.0
Bam Adebayo,MIA,3-PT Made,0.5
Bam Adebayo,MIA,Rebs+Asts,13.5
Deandre Ayton,POR,Dunks,1.5
Deandre Ayton,POR,FG Attempted,10.5
Deandre Ayton,POR,FG Made,6.0
Deandre Ayton,POR,Defensive Rebounds,7.0
Deandre Ayton,POR,Offensive Rebounds,2.5
Deandre Ayton,POR,Pts+Rebs,22.5
Deandre Ayton,POR,Pts+Asts,13.5
Deandre Ayton,POR,Points,12.5
Deandre Ayton,POR,Blks+Stls,1.5
Deandre Ayton,POR,Pts+Rebs+Asts,23.0
Deandre Ayton,POR,Rebs+Asts,10.5
Deandre Ayton,POR,Rebounds,9.5
Duncan Robinson,MIA,FG Attempted,10.0
Duncan Robinson,MIA,3-PT Attempted,6.5
Duncan Robinson,MIA,FG Made,4.5
Duncan Robinson,MIA,Pts+Asts,16.0
Duncan Robinson,MIA,Pts+Rebs,15.5
Duncan Robinson,MIA,Rebs+Asts,6.0
Duncan Robinson,MIA,Points,12.5
Deni Avdija,POR,Points,14.5
Deni Avdija,POR,Pts+Asts,18.5
Deni Avdija,POR,Pts+Rebs,21.5
Deni Avdija,POR,Pts+Rebs+Asts,24.5
Deni Avdija,POR,Rebounds,6.5
Jaime Jaquez Jr.,MIA,Points,10.5
Jaime Jaquez Jr.,MIA,Assists,2.5
Jaime Jaquez Jr.,MIA,Pts+Rebs,14.5
Jerami Grant,POR,Pts+Rebs,15.0
Jerami Grant,POR,Pts+Asts,13.0
Jerami Grant,POR,Steals,0.5
Jerami Grant,POR,Points,11.5
Jerami Grant,POR,Pts+Rebs+Asts,16.5
Jimmy Butler,MIA,FG Attempted,11.5
Jimmy Butler,MIA,FG Made,6.5
Jimmy Butler,MIA,Defensive Rebounds,3.5
Jimmy Butler,MIA,Points,18.5
Jimmy Butler,MIA,Rebs+Asts,10.0
Jimmy Butler,MIA,Rebounds,5.0
Jimmy Butler,MIA,Pts+Asts,23.5
Jimmy Butler,MIA,Assists,5.0
Jimmy Butler,MIA,Pts+Rebs+Asts,28.5
Jimmy Butler,MIA,Pts+Rebs,23.5
Nikola Jovic,MIA,Pts+Rebs+Asts,19.5
Nikola Jovic,MIA,Pts+Rebs,16.5
Nikola Jovic,MIA,3-PT Made,1.5
Nikola Jovic,MIA,Rebounds,4.5
Terry Rozier,MIA,Assists,3.5
Robert Williams III,POR,Rebounds,5.5
Robert Williams III,POR,Points,5.0
Anfernee Simons,POR,Rebounds,3.5
Deandre Ayton,POR,Points,9.5
Nikola Jovic,MIA,Rebs+Asts,9.5
Deandre Ayton,POR,Assists,2.5
Deandre Ayton,POR,Rebounds,8.5
Deandre Ayton,POR,Blocked Shots,0.5
Jaime Jaquez Jr.,MIA,Rebounds,5.5
Jimmy Butler,MIA,Assists,6.5
Deni Avdija,POR,Assists,2.5
Deandre Ayton,POR,Steals,1.5
Nikola Jovic,MIA,Pts+Rebs,19.5
Bam Adebayo,MIA,Assists,2.5
Jimmy Butler,MIA,Turnovers,1.5
Deni Avdija,POR,Points,22.5
Jerami Grant,POR,Pts+Rebs+Asts,14.5
